Name,Rating,Fees(in K),Location,Website
IIT Madras (IITM) - Indian Institute of Technology Madras,4.7,152,Tamil Nadu,https://www.iitm.ac.in
IIT Delhi - Indian Institute of Technology Delhi,4.7,874,Delhi,https://www.iitd.ac.in
IIT Bombay - Indian Institute of Technology Bombay,4.6,102,Maharashtra,https://www.iitb.ac.in
IIT Kanpur - Indian Institute of Technology Kanpur,4.6,855,Uttar Pradesh,https://www.iitk.ac.in
IIT Kharagpur - Indian Institute of Technology Kharagpur,4.6,80.40,West Bengal,https://www.iitkgp.ac.in
IIT Roorkee - Indian Institute of Technology Roorkee,4.6,69.04,Uttarakhand,https://www.iitr.ac.in
IIT Guwahati (IITG) - Indian Institute of Technology Guwahati,4.4,46.75,Assam,https://www.iitg.ac.in
IIT Hyderabad - Indian Institute of Technology Hyderabad,4.4,42,Telangana,https://www.iith.ac.in
NIT Trichy - National Institute of Technology Tiruchirappalli,4.7,53.15,Tamil Nadu,https://www.nitt.edu
IIT BHU - Indian Institute of Technology Banaras Hindu University Varanasi,4.7,854,Uttar Pradesh,https://www.iitbhu.ac.in
VIT Vellore - Vellore Institute of Technology Vellore,4.4,123,Tamil Nadu,https://www.vit.ac.in
Jadavpur University Kolkata,4.4,937,West Bengal,http://www.jaduniv.edu.in
SRM University Chennai - SRM Institute of Science and Technology Chennai,4.3,178,Tamil Nadu,https://www.srmist.edu.in
Anna University Chennai,4.3,55.38,Tamil Nadu,https://www.annauniv.edu
IIT ISM Dhanbad - Indian Institute of Technology Indian School of Mines Dhanbad,4.6,429,Jharkhand,https://www.iitism.ac.in
AIIMS Delhi - All India Institute of Medical Sciences New Delhi,4.6,913,Delhi,https://www.aiims.edu
PGIMER Chandigarh - Postgraduate Institute of Medical Education and Research Chandigarh,4.6,1241,Chandigarh,https://pgimer.edu.in
CMC Vellore - Christian Medical College Vellore,3.9,660,Tamil Nadu,https://www.cmch-vellore.edu
NIMHANS Bangalore - National Institute of Mental Health and Neuro Sciences Bangalore,4.0,419,Karnataka,https://nimhans.ac.in
JIPMER Puducherry - Jawaharlal Institute of Postgraduate Medical Education and Research Puducherry,4.5,192,Puducherry,https://jipmer.edu.in
SGPGIMS Lucknow - Sanjay Gandhi Postgraduate Institute of Medical Sciences Lucknow,4.6,435.8,Uttar Pradesh,https://www.sgpgi.ac.in
BHU Varanasi - Banaras Hindu University Varanasi,4.6,148,Uttar Pradesh,https://www.bhu.ac.in
Amrita Vishwa Vidyapeetham Coimbatore,4.6,112,Tamil Nadu,https://www.amrita.edu
KMC Manipal - Kasturba Medical College Manipal,4.6,108,Karnataka,https://manipal.edu
MMC Chennai - Madras Medical College Chennai,4.8,300,Tamil Nadu,https://www.tnmgrmu.ac.in
JNU Delhi - Jawaharlal Nehru University New Delhi,4.5,87.7,Delhi,https://www.jnu.ac.in
BHU Varanasi - Banaras Hindu University Varanasi,4.5,87.7,Uttar Pradesh,https://www.bhu.ac.in
DU Delhi - University of Delhi Delhi,4.4,6.90,Delhi,https://www.du.ac.in
AMU Aligarh - Aligarh Muslim University Aligarh,4.4,120,Uttar Pradesh,https://www.amu.ac.in
SRM University Chennai - SRM Institute of Science and Technology Chennai,4.2,42.48,Tamil Nadu,https://www.srmist.edu.in
